image_id,mask_count
1001,11
1005,10
1006,7
1007,4
1010,4
1011,10
1012,4
1014,11
1015,7
1016,7
1017,6
1018,4
1019,3
1020,3
1022,5
1025,3
1027,6
1028,3
1030,8
1033,3
1034,8
1035,10
1036,7
1037,3
1038,4
1039,3
1040,3
1042,9
1043,7
1044,8
1046,3
1047,5
1050,4
1053,4
1055,4
1056,9
1058,5
1060,3
1061,5
1062,3
1063,3
1064,3
1065,7
1067,5
1068,7
1069,3
1070,5
1074,3
1075,7
1077,10
1078,9
1079,6
1080,3
1085,3
1086,11
1088,6
1090,8
1091,9
1092,5
1096,5
1098,6
1101,3
1103,5
1104,4
1105,4
1106,5
1108,3
1111,3
1112,5
1113,11
1114,10
1115,3
1116,6
1117,11
1120,3
1122,5
1125,4
1128,3
1130,9
1131,4
1132,10
1133,4
1134,6
1135,5
1136,11
1137,5
1139,4
1142,4
1144,6
1145,10
1146,4
1147,4
1148,6
1150,6
1151,3
1154,4
1155,3
1160,5
1161,7
1162,5
1163,3
1165,8
1167,4
1168,10
1169,5
1170,4
1171,3
1173,9
1174,5
1175,3
1176,6
1177,5
1179,5
1180,3
1181,3
1182,5
1183,3
1184,5
1185,7
1186,6
1188,6
1191,6
1193,10
1195,3
1198,6
1199,10
1200,3
1201,7
1203,4
1204,5
1206,4
1207,10
1209,5
1210,8
1211,10
1213,7
1214,3
1216,5
1217,5
1218,8
1220,3
1221,11
1222,8
1223,3
1224,6
1225,6
1226,6
1227,4
1229,5
1230,4
1232,5
1233,3
1235,8
1236,6
1237,8
1239,8
1241,8
1244,4
1245,8
1246,7
1247,8
1248,4
1249,3
1251,8
1252,6
1257,8
1258,3
1260,5
1261,6
1262,9
1263,9
1264,3
1266,8
1267,3
1268,8
1269,4
1270,9
1272,6
1276,7
1277,5
1278,6
1279,4
1281,6
1282,11
1283,3
1284,5
1285,8
1286,6
1287,6
1288,7
1289,7
1290,5
1291,8
1292,6
1294,3
1295,11
1296,7
1299,8
1302,4
1303,5
1304,9
1305,4
1306,6
1307,5
1310,6
1313,4
1314,4
1315,7
1316,10
1317,4
1318,7
1319,3
1320,6
1322,7
1323,5
1324,5
1325,6
1328,10
1329,4
1331,6
1332,3
1333,3
1334,5
1337,7
1340,6
1341,5
1342,3
1345,8
1346,5
1347,4
1348,4
1349,3
1350,4
1351,4
1352,11
1353,4
1354,3
1355,10
1356,6
1357,10
1358,3
1359,3
1360,10
1362,3
1363,6
1364,5
1365,8
1366,9
1367,6
1369,8
1370,3
1373,6
1374,3
1377,5
1379,3
1380,3
1383,5
1384,4
1385,6
1386,4
1387,5
1388,8
1390,7
1391,6
1392,6
1393,5
1394,9
1395,5
1397,5
1398,8
1400,7
1402,5
1403,4
1404,5
1406,3
1407,7
1408,4
1410,6
1411,3
1412,6
1413,4
1414,5
1417,8
1418,5
1419,4
1421,5
1422,3
1423,5
1424,3
1427,8
1429,4
1430,5
1431,8
1433,3
1434,7
1435,8
1436,6
1437,3
1439,5
1440,6
1441,3
1443,6
1445,8
1446,4
1447,3
1448,6
1449,3
1450,3
1451,3
1452,7
1453,4
1455,3
1456,6
1457,4
1458,8
1459,11
1461,8
1462,7
1463,3
1464,5
1465,6
1466,6
1468,6
1469,4
1470,10
1473,6
1474,4
1475,4
1476,8
1478,3
1479,3
1481,7
1482,3
1483,8
1484,8
1485,4
1486,3
1488,4
1489,7
1491,8
1492,4
1494,4
1495,6
1496,5
1497,8
1499,3
1500,3
1503,7
1506,6
1507,3
1508,3
1509,8
1510,3
1512,10
1513,4
1514,4
1516,10
1517,10
1518,7
1520,9
1521,3
1522,9
1523,7
1524,10
1525,7
1526,6
1527,4
1530,9
1532,9
1533,4
1537,5
1538,8
1539,5
1540,3
1541,4
1542,3
1543,9
1546,6
1547,6
1548,3
1552,3
1555,3
1560,10
1562,8
1563,11
1564,8
1565,4
1568,5
1570,7
1572,4
1574,9
1577,8
1578,3
1580,11
1582,4
1583,6
1584,3
1589,8
1590,9
1592,6
1593,9
1595,7
1598,6
1599,5
1601,4
1602,3
1603,9
1605,4
1606,4
1607,3
1609,3
1610,6
1612,8
1613,3
1616,8
1618,10
1619,9
1621,7
1622,3
1623,10
1626,7
1628,9
1629,5
1630,4
1632,3
1634,7
1638,11
1641,6
1642,4
1644,6
1645,4
1651,4
1652,9
1654,11
1656,8
1657,5
1658,5
1659,5
1660,4
1662,3
1663,9
1664,4
1665,3
1666,4
1667,5
1669,4
1670,5
1673,6
1674,5
1675,3
1676,6
1678,10
1680,10
1681,4
1684,6
1685,4
1686,4
1688,11
1689,4
1690,7
1692,8
1693,5
1695,6
1696,5
1697,8
1698,3
1699,10
1700,9
